FID	IID	SUPERPOP	AFR	EAS	AMR	EUR
0	HG02275	AMR	7.4e-07	0.7010525	0.29894601	7.4e-07
0	HG02277	AMR	0.00015492	0.51437086	0.48546831	5.91e-06
0	HG02278	AMR	0.00185376	0.65096595	0.34717955	7.4e-07
0	HG02281	AFR	0.96412671	0.00774293	0.0171504	0.01097997
0	HG02282	AFR	0.80822966	0.01972273	0.08935861	0.082689
0	HG02283	AFR	0.7899365	0.03654617	0.10207531	0.07144202
0	HG02284	AFR	0.85558275	0.01944059	0.05483383	0.07014282
0	HG02285	AMR	0.00215285	0.58731406	0.41053235	7.4e-07
0	HG02286	AMR	0.0020653	0.55661926	0.4413147	7.4e-07
0	HG02291	AMR	7.4e-07	0.71366357	0.28633494	7.4e-07
0	HG02292	AMR	7.5e-07	0.63326631	0.3667322	7.4e-07
0	HG02298	AMR	0.00402402	0.45878078	0.53698855	0.00020664
0	HG02299	AMR	7.4e-07	0.65041996	0.34957855	7.4e-07
0	HG02301	AMR	0.00061218	0.59816174	0.40122534	7.4e-07
0	HG02304	AMR	0.04424904	0.57569548	0.38005474	7.4e-07
0	HG02307	AFR	0.94335238	0.00959226	0.02404012	0.02301525
0	HG02308	AFR	0.89133222	0.01112023	0.05449534	0.04305221
0	HG02309	AFR	0.89983089	0.01096655	0.05415582	0.03504673
0	HG02312	AMR	0.00409719	0.45694015	0.53887307	8.959e-05
0	HG02314	AFR	0.93095275	0.00684795	0.02833729	0.03386201
0	HG02315	AFR	0.87562444	0.02004074	0.0587329	0.04560192
0	HG02317	AFR	0.94379581	0.01233094	0.02305109	0.02082216
0	HG02318	AFR	0.95328252	0.01554935	0.0124359	0.01873224
0	HG02322	AFR	0.88345693	0.01503545	0.05226942	0.04923819
0	HG02323	AFR	0.92383963	0.01131533	0.02974411	0.03510092
0	HG02325	AFR	0.97189975	0.02017705	0.00395619	0.00396701
0	HG02330	AFR	0.89931983	0.01149406	0.04277662	0.04640949
0	HG02332	AFR	0.90756277	0.00738878	0.03946656	0.04558189
0	HG02334	AFR	0.76668962	0.02944333	0.08292561	0.12094144
0	HG02337	AFR	0.88404867	0.01682145	0.05335297	0.04577691
0	HG02339	AFR	0.9807843	0.01083814	0.00231596	0.0060616
0	HG02343	AFR	0.78017819	0.02499161	0.09719293	0.09763726
0	HG02345	AMR	0.05857799	0.46969578	0.46736646	0.00435977
0	HG02348	AMR	0.00475397	0.60535098	0.3898943	7.4e-07
0	HG02351	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02353	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02355	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02356	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02360	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02364	EAS	7.4e-07	0.99999777	7.5e-07	7.5e-07
0	HG02367	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02371	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02373	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02374	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02375	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02379	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02380	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02382	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02383	EAS	7.4e-07	0.99999777	7.5e-07	7.5e-07
0	HG02384	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02385	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02386	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02389	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02390	EAS	7.5e-07	0.99999777	7.4e-07	7.4e-07
0	HG02391	EAS	7.5e-07	0.99999777	7.4e-07	7.4e-07
0	HG02392	EAS	7.5e-07	0.99999777	7.4e-07	7.4e-07
0	HG02394	EAS	7.5e-07	0.99999776	7.4e-07	7.5e-07
0	HG02395	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02396	EAS	7.4e-07	0.99999777	7.4e-07	7.5e-07
0	HG02397	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02398	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02399	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02401	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02402	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02406	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02407	EAS	7.5e-07	0.99999776	7.4e-07	7.5e-07
0	HG02408	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02409	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02410	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02419	AFR	0.93609559	0.02087633	0.02530904	0.01771904
0	HG02420	AFR	0.58502004	0.0263474	0.16204415	0.2265884
0	HG02425	AMR	0.05271897	0.4469378	0.4999877	0.00035553
0	HG02427	AFR	0.91192319	0.01206294	0.03525659	0.04075728
0	HG02429	AFR	0.89968961	0.01981657	0.03933978	0.04115404
0	HG02433	AFR	0.88622655	0.02760728	0.03820234	0.04796383
0	HG02439	AFR	0.94318768	0.01774957	0.01986732	0.01919543
0	HG02442	AFR	0.98184245	0.01815606	7.5e-07	7.5e-07
0	HG02445	AFR	0.83511598	0.01101044	0.10603726	0.04783632
0	HG02449	AFR	0.94300163	0.01815665	0.0188558	0.01998591
0	HG02450	AFR	0.92474334	0.01028251	0.02670716	0.03826699
0	HG02455	AFR	0.84905458	0.02641023	0.0595737	0.06496148
0	HG02461	AFR	0.98580328	0.01419523	7.4e-07	7.5e-07
0	HG02462	AFR	0.95774469	0.00876636	0.0205392	0.01294975
0	HG02464	AFR	0.99999777	7.4e-07	7.4e-07	7.4e-07
0	HG02465	AFR	0.99910558	0.00089293	7.4e-07	7.4e-07
0	HG02470	AFR	0.93281473	0.0075535	0.03371593	0.02591584
0	HG02471	AFR	0.92904501	0.00998415	0.02844929	0.03252156
0	HG02476	AFR	0.8362168	0.01410205	0.08922188	0.06045927
0	HG02477	AFR	0.88700812	0.01634458	0.04021021	0.05643709
0	HG02479	AFR	0.89949955	0.02173058	0.03546243	0.04330744
0	HG02481	AFR	0.91106743	0.0138119	0.03490697	0.0402137
0	HG02484	AFR	0.89830823	0.00954657	0.04792708	0.04421812
0	HG02485	AFR	0.74416472	0.01631986	0.12204869	0.11746673
0	HG02489	AFR	0.86770441	0.02062199	0.06382813	0.04784547
0	HG02496	AFR	0.92082276	0.01544452	0.04044731	0.02328541
0	HG02497	AFR	0.95091853	0.00892315	0.02170452	0.0184538
0	HG02501	AFR	0.78365147	0.02555222	0.09829886	0.09249745
0	HG02502	AFR	0.82198972	0.02953535	0.08536734	0.06310759
0	HG02505	AFR	0.9208215	0.01458071	0.03406535	0.03053243
0	HG02508	AFR	0.9313423	0.01776007	0.02092682	0.02997081
0	HG02511	AFR	0.94162223	0.02062144	0.01853028	0.01922605
0	HG02512	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02513	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
